( time01 "lung atu aþ léca" )
( time02 "lung atu oc tír" )
( time03 "lung atu oc múr" )
( time04 "lung atu aþ tiga" )
( time05 "ind kluka is déc oq dá" )
( time06 "ind kluka is léð resí sjé" )
( time07 "ind kluka is fjórutí oq teúr mínúda iarsintí fjicje" )
( time08 "ind kluka is átí oq kóg mínúda iarsintí déc oq oct" )
( time09 "ind kluka is fití mínúda resí núl" )
( time10 "ind kluka is thrian iarsintí fjicje oq dá" )
( time11 "ind kluka is kjeþramþu iarsintí déc oq sjé" )
( time12 "ind kluka is dú mínúda resí én" )
( time13 "ind kluka is déc oq kjeþér mínúda iarsintí noú" )
( time14 "ind kluka is dá" )
( time15 "ind kluka is thrí" )
( time16 "ind kluka is kjeþir" )
( time17 "ind kluka is sject mínúda resí noú" )
( time18 "ind kluka is þrjátí mínúda iarsintí thrí" )
